clustered_position	original_index	feature_name
0	19	207cc82ff40d87754104a4b4ecc14f86c90c2340
1	18	73251a92727c8aab29d42db10336185211501958
2	22	6616fa7724ccf4845d63a56b7347d9c33a69219d
3	21	5a3071e7a71f2adeb3efac1876e570e324f0c98a
4	20	020a4147fdda0810264634c477c464877f797e04
5	17	32162a2e28fd0827ad25448bf116f24d7f95d108
6	16	695aeaed621639ff0ee206985a8d1d5276ed849a
7	24	a33023457eac95f9721b33610392af20f38167c0
8	23	2c35d0036d35ac400f5cdaa5d9c440be824e552a
9	15	5afd4f3b6ad921cd38b282e4b9c105b47eccc589
10	14	ecee48a7001e0b07487f102eaac6c1a4469d4a60
11	12	7d6f829338a490babd72c65ababe38d094c889a9
12	11	2c381c69770165e80b0758e5f099a9d3b3fa0446
13	10	83a2ca14160a2fbcaa0f59070cea5209da91f030
14	7	17f265f901b5a424f062673da4784f53437a94cc
15	6	16c9f3db1a76439d84e3ac11078be0d1d9027152
16	9	29745595638f02e762a544baa35efd9ef7e9e203
17	8	0e41e16252aeddbaee740ead88f438eba5ba32b5
18	13	dfdee9514aea6970f516e22621e250088fae41d3
19	26	39348d141eb637a37c02e9b68d23c1103874e710
20	25	40664a90211bb84e8035f92cfa1ebf5e705419bf
21	5	900f5a56b23caefa00863aeb258cd2c28fb1e1d3
22	4	23619757a0a0b4a056c20e65935fd4b163b253ec
23	3	290c73c8196689bcaf7d493dbcb13366a6bc3864
24	0	#OTUID
25	2	eb844593d5b3b5220ad04c4277bb972f932318de
26	1	acd65322be9817e96c5cc2d642eb932520a6ed53
27	222	28fcf268bb195dc22464dfed9abf2249185b0d7f
28	221	019de9556443dbe449e545c2d1fa03cbc0351129
29	220	004314a09af7bf6504c5a63b28a4400327de3e4d
30	218	32850bc9dad21b1034be625129e1f8ea87cc4a1c
31	217	027ca07d26855943c9552dd150b386ff37695b41
32	219	680e294f0987f10831c42ff9c63cd4d3bc40c0fd
33	224	06cac547802bd7bf8fc491dff10346727979a577
34	223	143424ef24b73ce7ec7da127214e75973a0264c5
35	211	459bc845156fceaf74396891e4e55c8c5ce112f7
36	210	8bbc0246383321a47b73bc182ee90e778f289e19
37	213	0022d74918d075ea2c1e26c8355b8dc1633d8458
38	209	3ce7117f9e3f48d23f4237786f53bba1cbc0195a
39	208	01d4f619ef343f635b322e98d38969bb8de35d11
40	212	30a086522b32a1b039e580ed50aee8eb93bedc41
41	238	0199aa0983c6f24a2569767d3f02fb2bc7913c19
42	237	4da9ee7989f1d9d1ffabe47a13b96c752e0432fc
43	236	02753a2e0e9b056dda9bd49bd42fc364f11b1029
